date,close,close_t1,close_t2,close_t3,re
2015/1/5,13805,13640,13670,13095,1414.888991
2015/1/6,14335,13805,13640,13670,543.1466415
2015/1/7,14305,14335,13805,13640,17.17914307
2015/1/8,13605,14305,14335,13805,-674.9286116
2015/1/9,14065,13605,14305,14335,421.8974112
2015/1/12,14425,14065,13605,14305,363.809451
2015/1/13,14155,14425,14065,13605,-211.4980241
2015/1/14,13975,14155,14425,14065,-146.6225293
2015/1/15,13800,13975,14155,14425,-200.1384861
2015/1/16,13515,13800,13975,14155,-299.3491062
2015/1/19,13400,13515,13800,13975,-111.3679044
2015/1/20,13360,13400,13515,13800,-29.89409029
2015/1/21,13685,13360,13400,13515,346.7047613
2015/1/22,13700,13685,13360,13400,63.79105566
2015/1/23,13640,13700,13685,13360,-33.48559748
2015/1/26,13225,13640,13700,13685,-410.2865833
2015/1/27,13525,13225,13640,13700,264.8184732
2015/1/28,13360,13525,13225,13640,-147.1181534
2015/1/29,13300,13360,13525,13225,-46.03577686
2015/1/30,13010,13300,13360,13525,-271.4835719
2015/2/2,13315,13010,13300,13360,284.1623232
2015/2/3,13310,13315,13010,13300,24.63336192
2015/2/4,13500,13310,13315,13010,211.5520056
2015/2/5,13325,13500,13310,13315,-144.5713209
2015/2/6,13670,13325,13500,13310,333.4286712
2015/2/9,13610,13670,13325,13500,-36.31895907
2015/2/10,13525,13610,13670,13325,-78.934179
2015/2/11,13630,13525,13610,13670,110.603475
2015/2/12,13530,13630,13525,13610,-98.97071935
2015/2/13,13800,13530,13630,13525,279.5850359
2015/2/16,13945,13800,13530,13630,174.5403891
2015/2/17,13705,13945,13800,13530,-215.2303786
2015/2/25,13850,13705,13945,13800,145.9888275
2015/2/26,13990,13850,13705,13945,141.6046856
2015/2/27,13970,13990,13850,13705,0.696216887
2015/3/2,13680,13970,13990,13850,-265.9301623
2015/3/3,13440,13680,13970,13990,-253.8053634
2015/3/4,13300,13440,13680,13970,-155.7669514
2015/3/5,13100,13300,13440,13680,-198.7185451
2015/3/6,13050,13100,13300,13440,-38.81109707
2015/3/9,13205,13050,13100,13300,171.8672648
2015/3/10,12600,13205,13050,13100,-576.2329573
2015/3/11,12925,12600,13205,13050,306.2349722
2015/3/12,13115,12925,12600,13205,203.4135689
2015/3/13,13050,13115,12925,12600,-39.01191923
2015/3/16,12890,13050,13115,12925,-131.3051999
2015/3/17,13050,12890,13050,13115,137.0778521
2015/3/18,12920,13050,12890,13050,-126.9670055
2015/3/19,12970,12920,13050,12890,53.92300984
2015/3/20,12855,12970,12920,13050,-104.570318
2015/3/23,13350,12855,12970,12920,489.7225828
2015/3/24,13405,13350,12855,12970,96.13876804
2015/3/25,13300,13405,13350,12855,-84.01666563
2015/3/26,13550,13300,13405,13350,249.8312595
2015/3/27,13260,13550,13300,13405,-292.099662
2015/3/30,13275,13260,13550,13300,6.26829618
2015/3/31,13215,13275,13260,13550,-56.42913079
2015/4/1,13050,13215,13275,13260,-166.9843139
2015/4/2,13050,13050,13215,13275,9.86109981
2015/4/3,12920,13050,13050,13215,-124.7655526
2015/4/7,12895,12920,13050,13050,-21.06321232
2015/4/8,12635,12895,12920,13050,-250.2234301
2015/4/9,12635,12635,12895,12920,-10.55776866
2015/4/10,12400,12635,12635,12895,-230.1318024
2015/4/13,12390,12400,12635,12635,-17.29055729
2015/4/14,12680,12390,12400,12635,298.4838455
2015/4/15,12800,12680,12390,12400,145.096925
2015/4/16,12990,12800,12680,12390,217.9674072
2015/4/17,12930,12990,12800,12680,-45.11547375
2015/4/20,12880,12930,12990,12800,-62.49068557
2015/4/21,13040,12880,12930,12990,148.5851265
2015/4/22,13015,13040,12880,12930,-21.05650061
2015/4/23,13055,13015,13040,12880,50.01467911
2015/4/24,13080,13055,13015,13040,33.76610602
2015/4/27,13820,13080,13055,13015,742.0577827
2015/4/28,13835,13820,13080,13055,71.87602279
2015/4/29,13670,13835,13820,13080,-140.7499188
2015/4/30,14010,13670,13835,13820,327.5602564
2015/5/4,14520,14010,13670,13835,503.9177241
2015/5/5,14555,14520,14010,13670,87.67935593
2015/5/6,14515,14555,14520,14010,-8.037425019
2015/5/7,14260,14515,14555,14520,-261.3588772
2015/5/8,14240,14260,14515,14555,-44.9204066
2015/5/11,14220,14240,14260,14515,-13.3355281
2015/5/12,14250,14220,14240,14260,51.17409591
2015/5/13,14190,14250,14220,14240,-26.29212872
2015/5/14,13720,14190,14250,14220,-451.8439428
2015/5/15,13800,13720,14190,14250,65.08721245
2015/5/18,14160,13800,13720,14190,368.6678214
2015/5/19,13995,14160,13800,13720,-115.7893836
2015/5/20,13475,13995,14160,13800,-486.0859458
2015/5/21,13520,13475,13995,14160,14.23285816
2015/5/22,13635,13520,13475,13995,103.8191038
2015/5/25,13645,13635,13520,13475,43.38771534
2015/5/26,14090,13645,13635,13520,484.1710418
2015/5/27,14065,14090,13645,13635,16.58394389
2015/5/28,14270,14065,14090,13645,221.8105537
2015/5/29,14500,14270,14065,14090,248.3026824
2015/6/1,14535,14500,14270,14065,47.54436089
2015/6/2,14285,14535,14500,14270,-229.5995954
2015/6/3,14165,14285,14535,14500,-131.4499305
2015/6/4,14250,14165,14285,14535,77.27165579
2015/6/5,14100,14250,14165,14285,-127.8276894
2015/6/8,14105,14100,14250,14165,28.31553454
2015/6/9,14100,14105,14100,14250,15.57092702
2015/6/10,14105,14100,14105,14100,20.78073679
2015/6/11,14060,14105,14100,14105,-22.11388175
2015/6/12,14070,14060,14105,14100,22.58440827
2015/6/15,13525,14070,14060,14105,-529.7694897
2015/6/16,14600,13525,14070,14060,1054.229907
2015/6/17,13845,14600,13525,14070,-679.7123827
2015/6/18,13520,13845,14600,13525,-327.3685394
2015/6/19,13550,13520,13845,14600,16.63226967
2015/6/23,13720,13550,13520,13845,139.0774486
2015/6/24,13700,13720,13550,13520,40.86781173
2015/6/25,13295,13700,13720,13550,-372.8927775
2015/6/26,13235,13295,13700,13720,-76.59110755
2015/6/29,13035,13235,13295,13700,-209.4460533
2015/6/30,12535,13035,13235,13295,-501.6853282
2015/7/1,13000,12535,13035,13235,454.2512234
2015/7/2,13195,13000,12535,13035,228.4497476
2015/7/3,13530,13195,13000,12535,382.4871623
2015/7/6,12715,13530,13195,13000,-763.70321
2015/7/7,12450,12715,13530,13195,-328.5926188
2015/7/8,11840,12450,12715,13530,-658.0447494
2015/7/9,12000,11840,12450,12715,108.9460844
2015/7/10,12130,12000,11840,12450,168.4457769
2015/7/13,11960,12130,12000,11840,-131.3158709
2015/7/14,11960,11960,12130,12000,20.94441864
2015/7/15,12030,11960,11960,12130,56.66268543
2015/7/16,12180,12030,11960,11960,144.6590981
2015/7/17,12095,12180,12030,11960,-71.66500634
2015/7/20,12145,12095,12180,12030,42.85514343
2015/7/21,12255,12145,12095,12180,103.5130742
2015/7/22,12150,12255,12145,12095,-105.3004648
2015/7/23,12240,12150,12255,12145,85.70601711
2015/7/24,11900,12240,12150,12255,-342.038617
2015/7/27,11920,11900,12240,12150,-6.250852697
2015/7/28,11745,11920,11900,12240,-180.8301405
2015/7/29,11760,11745,11920,11900,1.247232243
2015/7/30,11930,11760,11745,11920,178.8998934
2015/7/31,11910,11930,11760,11745,-9.736750102
2015/8/3,11780,11910,11930,11760,-123.6543752
2015/8/4,11420,11780,11910,11930,-376.6824751
2015/8/5,11100,11420,11780,11910,-361.1798511
2015/8/6,11125,11100,11420,11780,-9.942599854
2015/8/7,11000,11125,11100,11420,-128.1763202
2015/8/10,11000,11000,11125,11100,5.687311682
2015/8/11,10970,11000,11000,11125,-26.08172298
2015/8/12,10975,10970,11000,11000,-6.342030086
2015/8/13,10900,10975,10970,11000,-82.48019186
2015/8/14,10885,10900,10975,10970,-33.30880556
2015/8/17,10850,10885,10900,10975,-50.43616196
2015/8/18,10805,10850,10885,10900,-60.50546927
2015/8/19,10820,10805,10850,10885,1.016428887
2015/8/20,10815,10820,10805,10850,-17.47010613
2015/8/21,10810,10815,10820,10805,-16.71412927
2015/8/24,10165,10810,10815,10820,-657.7319451
2015/8/25,10010,10165,10810,10815,-213.6989683
2015/8/26,9975,10010,10165,10810,-76.92855303
2015/8/27,10155,9975,10010,10165,164.8443572
2015/8/28,10275,10155,9975,10010,144.9931113
2015/8/31,10085,10275,10155,9975,-186.5781016
2015/9/1,10100,10085,10275,10155,-14.66683309
2015/9/2,9995,10100,10085,10275,-140.4974012
2015/9/7,10180,9995,10100,10085,151.3090828
2015/9/8,10255,10180,9995,10100,71.19482615
2015/9/9,10355,10255,10180,9995,90.21978326
2015/9/10,10400,10355,10255,10180,36.38849325
2015/9/11,10530,10400,10355,10255,106.1393668
2015/9/14,10450,10530,10400,10355,-95.75316372
2015/9/15,10335,10450,10530,10400,-142.162398
2015/9/16,10525,10335,10450,10530,157.5884721
2015/9/17,10590,10525,10335,10450,51.9012896
2015/9/18,10515,10590,10525,10335,-78.70660939
2015/9/21,10635,10515,10590,10525,102.6936801
2015/9/22,10500,10635,10515,10590,-155.0202336
2015/9/23,10495,10500,10635,10515,-30.94666355
2015/9/24,10490,10495,10500,10635,-24.49131721
2015/9/25,10545,10490,10495,10500,33.84051368
2015/9/28,10545,10545,10490,10495,-6.977645488
2015/9/29,10330,10545,10545,10490,-229.8413082
2015/9/30,10300,10330,10545,10545,-61.88370632
2015/10/8,10460,10300,10330,10545,132.6021375
2015/10/9,10575,10460,10300,10330,109.2755565
2015/10/12,10555,10575,10460,10300,-15.85538388
2015/10/13,10500,10555,10575,10460,-70.95576924
2015/10/14,10500,10500,10555,10575,-30.49049794
