date,price,t1,t2,t3,re
2000/1/7,9300,9295,9250,9205,-31.46945237
2000/1/11,9315,9300,9295,9250,-1.962813506
2000/1/12,9300,9315,9300,9295,-6.753680556
2000/1/13,9300,9300,9315,9300,24.03805828
2000/1/14,9490,9300,9300,9315,213.7868114
2000/1/17,9370,9490,9300,9300,-112.3067475
2000/1/18,9730,9370,9490,9300,346.1706205
2000/1/19,9855,9730,9370,9490,100.2998846
2000/1/20,9850,9855,9730,9370,-36.76073665
2000/1/21,9815,9850,9855,9730,-58.19902827
2000/1/24,9760,9815,9850,9855,-57.44012465
2000/1/25,9680,9760,9815,9850,-62.26958554
2000/1/26,9585,9680,9760,9815,-68.129503
2000/1/27,9640,9585,9680,9760,77.6807996
2000/1/28,9640,9640,9585,9680,8.624434037
2000/1/31,9670,9640,9640,9585,20.48485917
2000/2/1,9680,9670,9640,9640,-9.390640933
2000/2/2,9700,9680,9670,9640,2.447878558
2000/2/14,9800,9700,9680,9670,93.38121283
2000/2/15,9780,9800,9700,9680,-15.62822931
2000/2/16,9735,9780,9800,9700,-36.90834006
2000/2/17,9745,9735,9780,9800,17.69196488
2000/2/18,9725,9745,9735,9780,-15.72854148
2000/2/21,9710,9725,9745,9735,-16.0473203
2000/2/22,9680,9710,9725,9745,-34.04367997
2000/2/23,9700,9680,9710,9725,16.58793512
2000/2/24,9720,9700,9680,9710,19.74169487
2000/2/25,9750,9720,9700,9680,31.63941293
2000/2/28,9700,9750,9720,9700,-48.68691589
2000/3/1,9500,9700,9750,9720,-200.058379
2000/3/2,9525,9500,9700,9750,27.66262453
2000/3/3,9460,9525,9500,9700,-55.71621847
2000/3/6,9450,9460,9525,9500,-0.566662446
2000/3/7,9460,9450,9460,9525,16.32561388
2000/3/8,9460,9460,9450,9460,0.373982786
2000/3/9,9435,9460,9460,9450,-30.04624274
2000/3/10,9270,9435,9460,9460,-171.3611832
2000/3/13,9380,9270,9435,9460,108.8110051
2000/3/14,9300,9380,9270,9435,-72.40858987
2000/3/15,9230,9300,9380,9270,-61.97765016
2000/3/16,9545,9230,9300,9380,322.091788
2000/3/17,9535,9545,9230,9300,-9.111135071
2000/3/20,9520,9535,9545,9230,-29.33963533
2000/3/21,9530,9520,9535,9545,-8.26057428
2000/3/22,9350,9530,9520,9535,-190.7783015
2000/3/23,9215,9350,9530,9520,-131.76979
2000/3/24,9180,9215,9350,9530,-14.97742516
2000/3/27,9180,9180,9215,9350,27.05406476
2000/3/28,9090,9180,9180,9215,-71.42537751
2000/3/29,9030,9090,9180,9180,-57.92193181
2000/3/30,9025,9030,9090,9180,-14.2186955
2000/3/31,8970,9025,9030,9090,-66.37721592
2000/4/3,8910,8970,9025,9030,-65.92048368
2000/4/4,9000,8910,8970,9025,94.310612
2000/4/5,8940,9000,8910,8970,-48.88090459
