date,close,A,B,C,D
2011/1/4,0.650374813,0.632434044,-0.2998713,0.473239489,0.695585678
2011/1/5,0.666866567,0.643762111,-0.238095238,0.493017778,0.704594498
2011/1/6,0.692353823,0.69384409,-0.32046332,0.528050399,0.728687855
2011/1/7,0.629385307,0.664331495,-0.111969112,0.547716524,0.734344556
2011/1/10,0.668365817,0.658965569,-0.196911197,0.542519582,0.73979175
2011/1/11,0.68035982,0.678342525,-0.294723295,0.553997719,0.750895644
2011/1/12,0.704347826,0.706960799,-0.456885457,0.580543249,0.792378119
2011/1/13,0.713343328,0.712028618,-0.456885457,0.602751762,0.806834133
2011/1/14,0.71934033,0.713221046,-0.343629344,0.608472137,0.809976745
2011/1/17,0.739730135,0.733194217,-0.366795367,0.64384125,0.835327146
2011/1/18,0.728335832,0.726337755,-0.407979408,0.641784906,0.828832415
2011/1/19,0.830284858,0.792219407,-0.38996139,0.649935506,0.854811339
2011/1/20,0.844677661,0.833060069,-0.297297297,0.688706934,0.871257673
2011/1/21,0.875262369,0.861678343,-0.446589447,0.714392537,0.887704008
2011/1/24,0.867766117,0.891787152,-0.500643501,0.743443067,0.917035051
2011/1/25,0.824287856,0.825607393,-0.606177606,0.766324566,0.912635394
2011/1/26,0.807496252,0.775823521,-0.593307593,0.72964687,0.871152919
2011/1/27,0.860269865,0.858697272,-0.590733591,0.734544707,0.891475142
2011/1/28,0.885757121,0.856312416,-0.567567568,0.704559475,0.875133561
2011/1/31,0.872263868,0.902220897,-0.693693694,0.705868058,0.875971591
2011/2/1,0.923538231,0.906096289,-0.845559846,0.723945189,0.905721648
2011/2/9,0.949025487,0.966910121,-0.184041184,0.862524069,0.956841466
2011/2/10,1,1,0.06048906,0.883124895,0.979887285
2011/2/11,0.983808096,0.986883291,-0.034749035,0.918830501,0.982610882
2011/2/14,0.989205397,0.983902221,0.307593308,0.934795207,0.989524628
2011/2/15,0.944227886,0.958265017,0.346203346,0.960032154,0.978944501
2011/2/16,0.932233883,0.922790282,0.027027027,0.959247004,0.968364375
2011/2/17,0.907646177,0.946340736,-0.248391248,0.970799918,1
2011/2/18,0.851874063,0.889998509,-0.178893179,0.985399959,0.998533448
2011/2/21,0.863268366,0.869727232,-0.235521236,1,0.981353837
2011/2/22,0.84077961,0.853033239,-0.160875161,0.985269101,0.920596677
2011/2/23,0.83808096,0.825309286,-0.240669241,0.964705662,0.882047307
2011/2/24,0.782308846,0.823222537,-0.186615187,0.951694614,0.862982129
2011/2/25,0.782608696,0.781785661,-0.240669241,0.916624605,0.84726907
2011/2/28,0.830284858,0.812192577,-0.052767053,0.88166676,0.811443297
2011/3/1,0.842278861,0.828290356,-0.117117117,0.846521975,0.812281327
2011/3/2,0.788305847,0.78685348,-0.11969112,0.850260782,0.781902747
2011/3/3,0.783208396,0.810403935,-0.083655084,0.848615707,0.785883388
2011/3/4,0.76131934,0.770457594,-0.148005148,0.81795749,0.761161509
2011/3/7,0.784707646,0.779997019,0.088803089,0.795599424,0.713603319
2011/3/8,0.660269865,0.714115367,0.078507079,0.755519414,0.624143638
2011/3/9,0.662368816,0.688180057,0.142857143,0.640102443,0.492782468
2011/3/10,0.662368816,0.658667462,-0.078507079,0.607500047,0.522323019
2011/3/11,0.626386807,0.640482933,-0.091377091,0.564578543,0.483145126
2011/3/14,0.507046477,0.547473543,0.791505792,0.422429103,0.32350045
2011/3/15,0.469265367,0.483380534,0.518661519,0.236797338,0.258343634
2011/3/16,0.505247376,0.473543002,0.425997426,0.260277046,0.270495066
2011/3/17,0.51844078,0.511998808,0.263835264,0.327463406,0.400180176
2011/3/18,0.590404798,0.57579371,0.166023166,0.451965678,0.535102973
2011/3/21,0.623388306,0.601430914,0.171171171,0.570485858,0.585175253
2011/3/22,0.632383808,0.644358325,0.173745174,0.660329389,0.664788083
2011/3/23,0.688155922,0.680131167,0.186615187,0.673714318,0.712136766
2011/3/24,0.68035982,0.688180057,0.163449163,0.731890154,0.745867466
2011/3/25,0.674362819,0.679534953,-0.05019305,0.737610528,0.731830467
2011/3/28,0.632383808,0.632732151,0.158301158,0.709345148,0.70689908
2011/3/29,0.632383808,0.638396184,-0.016731017,0.68257529,0.683434246
2011/3/30,0.656371814,0.646146967,-0.006435006,0.696595816,0.710460707
2011/3/31,0.644377811,0.644954539,0.011583012,0.71065373,0.720936079
2011/4/1,0.647376312,0.650618572,-0.109395109,0.70739536,0.711340638
2011/4/6,0.701349325,0.681919809,0.042471042,0.70413699,0.701745197
2011/4/7,0.710344828,0.709047548,0.184041184,0.70087862,0.692149756
2011/4/8,0.734332834,0.732598003,0.083655084,0.697620249,0.682554315
2011/4/11,0.770314843,0.768967059,0.189189189,0.694361879,0.672958874
2011/4/12,0.75832084,0.759725742,0.150579151,0.691103509,0.663363433
2011/4/13,0.764017991,0.747503354,-0.02960103,0.687845139,0.653767991
2011/4/14,0.775112444,0.76389924,-0.011583012,0.684586768,0.64417255
2011/4/15,0.737331334,0.759129528,0.042471042,0.681328398,0.634577109
2011/4/18,0.728335832,0.717692652,0.011583012,0.678070028,0.624981668
2011/4/19,0.71934033,0.718288866,0.045045045,0.674811658,0.615386227
2011/4/20,0.744527736,0.743031748,0.073359073,0.671553287,0.605790786
2011/4/21,0.726536732,0.73885825,0.06048906,0.668294917,0.596195345
2011/4/22,0.725937031,0.733790431,-0.184041184,0.665036547,0.586599904
2011/4/25,0.689055472,0.698315695,0.106821107,0.661778177,0.577004463
2011/4/26,0.661169415,0.658071248,0.027027027,0.658519806,0.567409021
2011/4/27,0.63838081,0.650618572,0.045045045,0.655261436,0.55781358
2011/4/28,0.627886057,0.636309435,-0.178893179,0.652003066,0.548218139
2011/4/29,0.605397301,0.605008198,-0.245817246,0.648744696,0.538622698
2011/5/3,0.572413793,0.579669101,0.093951094,0.622567439,0.529027257
2011/5/4,0.567616192,0.557907289,-0.03989704,0.613706466,0.51813287
2011/5/5,0.485457271,0.521836339,-0.088803089,0.57934683,0.487963797
