date,re,t1,t2,t3
2011/1/10,0.039726304,-0.629501952,-0.022309541,-0.053987136
2011/1/11,-0.106344178,0.039726304,-0.629501952,-0.022309541
2011/1/12,0.001553925,-0.106344178,0.039726304,-0.629501952
2011/1/13,-0.085830787,0.001553925,-0.106344178,0.039726304
2011/1/14,-0.119678712,-0.085830787,0.001553925,-0.106344178
2011/1/17,-0.050500904,-0.119678712,-0.085830787,0.001553925
2011/1/18,-0.281276775,-0.050500904,-0.119678712,-0.085830787
2011/1/19,0.465266604,-0.281276775,-0.050500904,-0.119678712
2011/1/20,-0.089524184,0.465266604,-0.281276775,-0.050500904
2011/1/21,0.02657943,-0.089524184,0.465266604,-0.281276775
2011/1/24,-0.220378265,0.02657943,-0.089524184,0.465266604
2011/1/25,-0.466924743,-0.220378265,0.02657943,-0.089524184
2011/1/26,-0.300258296,-0.466924743,-0.220378265,0.02657943
2011/1/27,0.165876766,-0.300258296,-0.466924743,-0.220378265
2011/1/28,0.000766188,0.165876766,-0.300258296,-0.466924743
2011/1/31,-0.259057401,0.000766188,0.165876766,-0.300258296
2011/2/1,0.157480094,-0.259057401,0.000766188,0.165876766
2011/2/9,-0.015746122,0.157480094,-0.259057401,0.000766188
2011/2/10,0.146975371,-0.015746122,0.157480094,-0.259057401
2011/2/11,-0.29803453,0.146975371,-0.015746122,0.157480094
2011/2/14,-0.159495486,-0.29803453,0.146975371,-0.015746122
2011/2/15,-0.484735085,-0.159495486,-0.29803453,0.146975371
2011/2/16,-0.258809934,-0.484735085,-0.159495486,-0.29803453
2011/2/17,-0.327740798,-0.258809934,-0.484735085,-0.159495486
2011/2/18,-0.530966434,-0.327740798,-0.258809934,-0.484735085
2011/2/21,-0.093378183,-0.530966434,-0.327740798,-0.258809934
2011/2/22,-0.319329655,-0.093378183,-0.530966434,-0.327740798
2011/2/23,-0.199576453,-0.319329655,-0.093378183,-0.530966434
2011/2/24,-0.557126227,-0.199576453,-0.319329655,-0.093378183
2011/2/25,-0.19004979,-0.557126227,-0.199576453,-0.319329655
2011/2/28,0.140485591,-0.19004979,-0.557126227,-0.199576453
2011/3/1,-0.078811508,0.140485591,-0.19004979,-0.557126227
2011/3/2,-0.523560005,-0.078811508,0.140485591,-0.19004979
2011/3/3,-0.222494508,-0.523560005,-0.078811508,0.140485591
2011/3/4,-0.338547963,-0.222494508,-0.523560005,-0.078811508
2011/3/7,-0.034378519,-0.338547963,-0.222494508,-0.523560005
2011/3/8,-1,-0.034378519,-0.338547963,-0.222494508
2011/3/9,-0.166775705,-1,-0.034378519,-0.338547963
2011/3/10,-0.158248247,-0.166775705,-1,-0.034378519
2011/3/11,-0.390478772,-0.158248247,-0.166775705,-1
2011/3/14,-0.960101724,-0.390478772,-0.158248247,-0.166775705
2011/3/15,-0.445534337,-0.960101724,-0.390478772,-0.158248247
2011/3/16,0.052053379,-0.445534337,-0.960101724,-0.390478772
2011/3/17,-0.074993046,0.052053379,-0.445534337,-0.960101724
